name,rank,industry,market_value_mil,revenue_mil,profit_mil,asset_mil,employees
A-Mark Precious Metals,458,Wholesalers: Diversified,815,8159,133,1443,381
KeyCorp,459,Commercial Banks,11579,8130,1917,189813,17660
ARKO,460,Specialty Retailers: Other,1020,8128,72,3255,12223
Lululemon athletica,461,Specialty Retailers: Apparel,46312,8111,855,5607,34000
Old Republic International,462,Insurance: Property and Casualty (Stock),7399,8084,686,25159,9500
Zoetis,463,Pharmaceuticals,77053,8080,2114,14925,13800
Marathon Oil,464,"Mining, Crude-Oil Production",15087,8036,3612,19940,1570
J.M. Smucker,465,Food Consumer Products,16781,7999,632,16055,6700
Huntington Bancshares,466,Commercial Banks,16236,7950,2238,182906,19920
NGL Energy Partners,467,Pipelines,381,7948,185,6070,842
Ingredion,468,Food Production,6711,7946,492,7561,11700
Fortune Brands Innovations,469,"Building Materials, Glass",7457,7923,687,6121,11200
PPL,470,Utilities: Gas and Electric,20472,7902,756,37837,6527
Sanmina,471,Semiconductors and Other Electronic Components,3559,7891,256,4860,36000
Bed Bath & Beyond,472,Specialty Retailers: Other,183,7868,560,5131,32000
Cintas,473,Diversified Outsourcing Services,47042,7855,1236,8147,43000
NCR,474,"Computers, Office Equipment",3304,7844,60,11507,35000
ABM Industries,475,Diversified Outsourcing Services,2971,7807,230,4869,127000
Rockwell Automation,476,"Electronics, Electrical Equipment",33683,7760,932,10759,26000
Northern Trust,477,Commercial Banks,18309,7752,1336,155037,23600
XPO,478,Transportation and Logistics,3685,7718,666,6269,39500
Science Applications International,479,Information Technology Services,5871,7704,300,5543,25000
Ameren,480,Utilities: Gas and Electric,22675,7662,1074,37904,9244
First American Financial,481,Insurance: Property and Casualty (Stock),5750,7605,263,14955,21153
Bath & Body Works,482,Specialty Retailers: Other,8368,7560,800,5494,33000
Regions Financial,483,Commercial Banks,17346,7531,2245,155220,20073
Activision Blizzard,484,Entertainment,67126,7528,1513,27383,13000
Avantor,485,"Scientific, Photographic and Control Equipment",14271,7512,687,13464,14500
Genworth Financial,486,"Insurance: Life, Health (Stock)",2477,7507,609,86442,2500
EQT,487,Energy,11499,7498,1771,22670,744
Skechers U.S.A.,488,Apparel,7379,7445,373,6894,11450
Landstar System,489,"Trucking, Truck Leasing",6457,7440,431,1932,1449
Knight-Swift Transportation Holdings,490,"Trucking, Truck Leasing",9106,7429,771,10952,28300
SVB Financial Group,491,Commercial Banks,54,7401,1672,211793,8553
Par Pacific Holdings,492,Petroleum Refining,1773,7322,364,3281,1397
Albemarle,493,Chemicals,25928,7320,2690,15457,7400
Vulcan Materials,494,"Building Materials, Glass",22827,7315,576,14235,11974
Watsco,495,Wholesalers: Diversified,12354,7274,601,3488,7238
KKR,496,Securities,45225,7273,841,277077,4150
Equinix,497,Real Estate,66873,7263,704,30311,12097
Sonoco Products,498,"Packaging, Containers",5975,7251,466,7053,22000
ServiceNow,499,Computer Software,94338,7245,325,13299,20433
Robert Half International,500,Temporary Help,8677,7238,658,2965,16300
